decile,customers,treated_customers,control_customers,treated_conversion_rate,control_conversion_rate,actual_uplift,avg_predicted_uplift
1,6400.0,4277.0,2123.0,0.03974748655599719,0.002826189354686764,0.036921297201310425,0.015524187867122728
2,6400.0,4228.0,2172.0,0.01892147587511826,0.0027624309392265192,0.01615904493589174,0.009812059671602208
3,6400.0,4213.0,2187.0,0.010918585331117968,0.0027434842249657062,0.008175101106152261,0.007704064006481791
4,6400.0,4284.0,2116.0,0.007703081232492998,0.000945179584120983,0.006757901648372014,0.006365427032664539
5,6400.0,4313.0,2087.0,0.005100857871551124,0.0019166267369429804,0.0031842311346081437,0.005288718625922775
6,6400.0,4288.0,2112.0,0.006296641791044776,0.004734848484848485,0.001561793306196291,0.00425247062879146
7,6400.0,4275.0,2125.0,0.005380116959064328,0.0032941176470588237,0.002085999312005504,0.0031231282036759006
8,6400.0,4252.0,2148.0,0.0035277516462841017,0.0037243947858473,-0.00019664313956319806,0.0020085491241509383
9,6400.0,4319.0,2081.0,0.0062514470942347765,0.005285920230658337,0.0009655268635764391,0.0003931191604056712
10,6400.0,4245.0,2155.0,0.003062426383981154,0.02877030162412993,-0.025707875240148774,-0.003768496827435628
